bug_id,bug_title,bug_description,bug_tags,priority,severity,area_path,iteration_path,state
83236,Pipeline Name difference should be rectified for DEV and Test environment,,,2,3 - Medium,104 newPDM\PLATON\Team 6,104 newPDM\PI2\Sprint 2.4,Rejected
83239,"Pipeline count difference are there for DEV and TEST environment, we should have same pipeline for each environment.",,,2,3 - Medium,104 newPDM\PLATON\Team 6,104 newPDM\PI2\Sprint 2.4,Rejected
83240,"We should have common PIPELINE like ""manual-deployment-aws"" for all 3 environments and control it by passing the argument for every environment.",,,2,3 - Medium,104 newPDM\PLATON\Team 6,104 newPDM\PI2\Sprint 2.4,Rejected
83272,Type Mapping issues: for TC2EA Send Change object with Lower Product Structure and Single Part during Release process.,,Team 5,2,3 - Medium,104 newPDM\PLATON\Team 5,104 newPDM\PI2\Sprint 2.5,Closed
83275,"Workflow merging for TC2SAFIRA Change Object Export for Single Part and Lower Structure: Reverse Mapping, Preview Process and HOLD Removal",,Team 5,2,3 - Medium,104 newPDM\PLATON\Team 5,104 newPDM\PI2\Sprint 2.5,Closed
83628,Multiple Attachments Not Getting Attached in Payload (MTOM),,Team 5,2,3 - Medium,104 newPDM\PLATON\Team 5,104 newPDM\PI2\Sprint 2.5,Closed
83818,Reading multiple input payloads from MQ,,Team 5,2,3 - Medium,104 newPDM\PLATON\Team 5,104 newPDM\PI2\Sprint 2.5,Closed
83822,Storing all the hardcoded values used during MQ connection,,Team 5,2,3 - Medium,104 newPDM\PLATON\Team 5,104 newPDM\PI2\Sprint 2.5,Closed
84442,Duplicate Files attached to more than 1 Item Revision,,IMPL; Spillover; Team 4,2,3 - Medium,104 newPDM\PLATON\Team 4,104 newPDM\PI2\Sprint 2.4,Rejected
84712,Findings of mocked SAFIRA Message Import to real System,,Team 5,2,3 - Medium,104 newPDM\PLATON\Team 5,104 newPDM\PI2\Sprint 2.5,Closed
