WorkItemId,Title,LinkedWorkItemId,LinkedTitle,LinkedType
476635,Create Alternative ID for existing Part,42001,Create Alternative ID for existing Part,Test Case
43944,Create and save geometry with AWC,37005,Create and save geometry,User Story
43491,Create and save geometry in NX Managed,37005,Create and save geometry,User Story
41993,Check-out of single part,41737,Create a new single part,Test Case
41993,Check-out of single part,41737,Create a new single part,Test Case
42785,Set the maturity level of a single part,41737,Create a new single part,Test Case
42137,Check-out already checked-out part,41737,Create a new single part,Test Case
42137,Check-out already checked-out part,41737,Create a new single part,Test Case
42139,"Check-out, edit and cancel check-out",41737,Create a new single part,Test Case
42139,"Check-out, edit and cancel check-out",41737,Create a new single part,Test Case
42144,"User A Checked-out a Part, User B can't see changes of the Part",41737,Create a new single part,Test Case
42144,"User A Checked-out a Part, User B can't see changes of the Part",41737,Create a new single part,Test Case
476632,Create a new single part,41737,Create a new single part,Test Case
476634,Check-out of single part,41737,Create a new single part,Test Case
476634,Check-out of single part,41737,Create a new single part,Test Case
476639,Check-out already checked-out part,41737,Create a new single part,Test Case
476639,Check-out already checked-out part,41737,Create a new single part,Test Case
476640,"Check-out, edit and cancel check-out",41737,Create a new single part,Test Case
476640,"Check-out, edit and cancel check-out",41737,Create a new single part,Test Case
476641,"User A Checked-out a Part, User B can't see changes of the Part",41737,Create a new single part,Test Case
476641,"User A Checked-out a Part, User B can't see changes of the Part",41737,Create a new single part,Test Case
476664,Set the maturity level of a single part,41737,Create a new single part,Test Case
41993,Check-out of single part,42137,Check-out already checked-out part,Test Case
42139,"Check-out, edit and cancel check-out",42137,Check-out already checked-out part,Test Case
41737,Create a new single part,42137,Check-out already checked-out part,Test Case
41737,Create a new single part,42137,Check-out already checked-out part,Test Case
42144,"User A Checked-out a Part, User B can't see changes of the Part",42137,Check-out already checked-out part,Test Case
476632,Create a new single part,42137,Check-out already checked-out part,Test Case
476634,Check-out of single part,42137,Check-out already checked-out part,Test Case
476639,Check-out already checked-out part,42137,Check-out already checked-out part,Test Case
476640,"Check-out, edit and cancel check-out",42137,Check-out already checked-out part,Test Case
476641,"User A Checked-out a Part, User B can't see changes of the Part",42137,Check-out already checked-out part,Test Case
41993,Check-out of single part,42139,"Check-out, edit and cancel check-out",Test Case
42137,Check-out already checked-out part,42139,"Check-out, edit and cancel check-out",Test Case
41737,Create a new single part,42139,"Check-out, edit and cancel check-out",Test Case
41737,Create a new single part,42139,"Check-out, edit and cancel check-out",Test Case
42144,"User A Checked-out a Part, User B can't see changes of the Part",42139,"Check-out, edit and cancel check-out",Test Case
476632,Create a new single part,42139,"Check-out, edit and cancel check-out",Test Case
476634,Check-out of single part,42139,"Check-out, edit and cancel check-out",Test Case
476639,Check-out already checked-out part,42139,"Check-out, edit and cancel check-out",Test Case
